System solution:
x[0] = 1097835.769609
x[1] = 312809.837163
x[2] = 1354895.988489
x[3] = 573412.396871
x[4] = 942042.281600
x[5] = -334467.560904
x[6] = -290708.319232
x[7] = 366744.185248
x[8] = 619176.392120
x[9] = 396662.398314
x[10] = 1013985.587269
x[11] = 1434322.016993
x[12] = 386026.196962
x[13] = 562216.656923
x[14] = 793943.416942
x[15] = 126907.810601
x[16] = 1084971.518334
x[17] = 802317.176349
x[18] = 585009.662480
x[19] = 1229168.554262
x[20] = 931604.784928
x[21] = 755993.077470
x[22] = 304838.074910
x[23] = 1985156.959920
x[24] = -30380.253095
x[25] = -319382.589483
x[26] = 61122.955609
x[27] = 2008700.182429
x[28] = 1847212.501833
x[29] = -319154.572204
x[30] = 283648.342813
x[31] = 964538.178358
x[32] = 328409.629995
x[33] = 1968083.535886
x[34] = 1900835.701939
x[35] = 1606438.633633
x[36] = -428856.265953
x[37] = 2026903.856556
x[38] = 26498.269747
x[39] = 653982.110344
x[40] = 355992.113616
x[41] = 1357333.945709
x[42] = 79949.380946
x[43] = 1214464.960564
x[44] = -135261.696749
x[45] = 1225556.494903
x[46] = 1665840.973793
x[47] = 1281562.975304
x[48] = -43569.848539
x[49] = 200197.005916
x[50] = 586261.057254
x[51] = 1265862.968741
x[52] = 1310246.379765
x[53] = 1181072.281372
x[54] = 1206208.307889
x[55] = 1618707.107419
x[56] = 1292302.675309
x[57] = 1618594.775219
x[58] = 1568646.421576
x[59] = 1055466.726539
x[60] = 1740197.344033
x[61] = -182214.016055
x[62] = 4672.615111
x[63] = 47350.698180
x[64] = -210763.084436
x[65] = -136865.366142
x[66] = -372643.608643
x[67] = -206278.589790
x[68] = -145880.850067
x[69] = 6955.690407
x[70] = 748887.653178
x[71] = 583325.787042
x[72] = 1703266.385747
x[73] = 1214455.383517
x[74] = -313720.805811
x[75] = 1961536.394025
x[76] = 359758.777193
x[77] = 1666282.249257
x[78] = 1333024.008834
x[79] = 673148.082119
x[80] = -154929.235257
x[81] = -207951.330279
x[82] = -154322.633904
x[83] = 1511504.832245
x[84] = 1460945.631384
x[85] = 1427452.932736
x[86] = 1107268.607175
x[87] = 661323.344763
x[88] = 995233.616355
x[89] = 604423.424666
x[90] = -304781.222561
x[91] = 681518.602758
x[92] = 805644.262300
x[93] = 26775.603934
x[94] = 1135138.368103
x[95] = 918611.511803
x[96] = 285090.874564
x[97] = 1134277.873040
x[98] = 1065511.096179
x[99] = 512205.633746
